Type,Original Name,Main Label,Combination,Offer Selling Price (INR),MRP,Meta Title,Meta Description,H1 Title,Short Description,Long Description,Impact Description,Focus Keyword,Top Keywords,URL Slug,Image Alt Text,Category,Tags,OG Title,OG Description,Visual Notes,Image Link
Single,Amethyst (High Grade),Amethyst,Pure Amethyst,750,1087.5,Amethyst Crystal Bracelet for Stress relief | Destini Numbers,"Shop Amethyst crystal bracelet designed for stress relief. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Amethyst Crystal Bracelet,Powerful Amethyst bracelet to support stress relief in your daily life.,"This Amethyst crystal bracelet is crafted with carefully selected beads and elastic for comfortable daily wear. According to Vedic crystal wisdom, this stone is known to support stress relief, peace, and protection from addiction. when worn consistently on the left hand (receiving hand) or during meditation. Each bracelet is cleansed with incense and intention before shipping so you receive it energetically ready to wear.","Regular use of this Amethyst bracelet may help you experience subtle shifts in your emotional state, mindset and energy, making it easier to stay aligned with your goals related to stress relief. Pair it with affirmations or journaling for faster manifestation results.",Amethyst crystal bracelet,"amethyst bracelet, purple crystal, calming stones, Amethyst crystal bracelet, Amethyst bracelet india, crystals for stress relief, healing crystal bracelet, vedic crystal remedies",amethyst-crystal-bracelet,Amethyst crystal bracelet for stress relief from Destini Numbers,Crystal Bracelets,"Amethyst, crystal bracelet, healing crystals, manifestation, vedic remedies",Amethyst Crystal Bracelet for Stress relief | Destini Numbers,"Shop Amethyst crystal bracelet designed for stress relief. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Deep purple translucent beads,https://photos.app.goo.gl/WxMfYgj1BVdsf6Ma8
Single,Black Tourmaline,Black Tourmaline,Pure Black Tourmaline,810,1174.5,Black Tourmaline Crystal Bracelet for Ultimate protection from negative energy and EMF | Destini Numbers,"Shop Black Tourmaline crystal bracelet designed for ultimate protection from negative energy and emf. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Black Tourmaline Crystal Bracelet,Powerful Black Tourmaline bracelet to support ultimate protection from negative energy and emf in your daily life.,"This Black Tourmaline crystal bracelet is crafted with carefully selected beads and elastic for comfortable daily wear. According to Vedic crystal wisdom, this stone is known to support ultimate protection from negative energy and emf. when worn consistently on the left hand (receiving hand) or during meditation. Each bracelet is cleansed with incense and intention before shipping so you receive it energetically ready to wear.","Regular use of this Black Tourmaline bracelet may help you experience subtle shifts in your emotional state, mindset and energy, making it easier to stay aligned with your goals related to ultimate protection from negative energy and emf. Pair it with affirmations or journaling for faster manifestation results.",Black Tourmaline crystal bracelet,"negative energy removal, black tourmaline india, Black Tourmaline crystal bracelet, Black Tourmaline bracelet india, crystals for ultimate protection from negative energy and emf, healing crystal bracelet, vedic crystal remedies",black-tourmaline-crystal-bracelet,Black Tourmaline crystal bracelet for ultimate protection from negative energy and emf from Destini Numbers,Crystal Bracelets,"Black Tourmaline, crystal bracelet, healing crystals, manifestation, vedic remedies",Black Tourmaline Crystal Bracelet for Ultimate protection from negative energy and EMF | Destini Numbers,"Shop Black Tourmaline crystal bracelet designed for ultimate protection from negative energy and emf. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Rough or polished jet black beads,https://photos.app.goo.gl/YB5dKSpY1szd9MCPA
Single,Rose Quartz,Rose Quartz,Pure Rose Quartz,620,899,Rose Quartz Crystal Bracelet for Attracts love | Destini Numbers,"Shop Rose Quartz crystal bracelet designed for attracts love. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Rose Quartz Crystal Bracelet,Powerful Rose Quartz bracelet to support attracts love in your daily life.,"This Rose Quartz crystal bracelet is crafted with carefully selected beads and elastic for comfortable daily wear. According to Vedic crystal wisdom, this stone is known to support attracts love, self-care, and emotional healing. when worn consistently on the left hand (receiving hand) or during meditation. Each bracelet is cleansed with incense and intention before shipping so you receive it energetically ready to wear.","Regular use of this Rose Quartz bracelet may help you experience subtle shifts in your emotional state, mindset and energy, making it easier to stay aligned with your goals related to attracts love. Pair it with affirmations or journaling for faster manifestation results.",Rose Quartz crystal bracelet,"love stone, pink crystal, relationship bracelet, Rose Quartz crystal bracelet, Rose Quartz bracelet india, crystals for attracts love, healing crystal bracelet, vedic crystal remedies",rose-quartz-crystal-bracelet,Rose Quartz crystal bracelet for attracts love from Destini Numbers,Crystal Bracelets,"Rose Quartz, crystal bracelet, healing crystals, manifestation, vedic remedies",Rose Quartz Crystal Bracelet for Attracts love | Destini Numbers,"Shop Rose Quartz crystal bracelet designed for attracts love. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Soft translucent pink beads,https://photos.app.goo.gl/R8i5AwnfbY48EwHr7
Single,Tiger’s Eye,Tiger’s Eye,Pure Tiger's Eye,690,1000.5,Tiger’s Eye Crystal Bracelet for Confidence | Destini Numbers,"Shop Tiger’s Eye crystal bracelet designed for confidence. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Tiger’s Eye Crystal Bracelet,Powerful Tiger’s Eye bracelet to support confidence in your daily life.,"This Tiger’s Eye crystal bracelet is crafted with carefully selected beads and elastic for comfortable daily wear. According to Vedic crystal wisdom, this stone is known to support confidence, protection, and mental focus. when worn consistently on the left hand (receiving hand) or during meditation. Each bracelet is cleansed with incense and intention before shipping so you receive it energetically ready to wear.","Regular use of this Tiger’s Eye bracelet may help you experience subtle shifts in your emotional state, mindset and energy, making it easier to stay aligned with your goals related to confidence. Pair it with affirmations or journaling for faster manifestation results.",Tiger’s Eye crystal bracelet,"confidence bracelet, brown golden stone, Tiger’s Eye crystal bracelet, Tiger’s Eye bracelet india, crystals for confidence, healing crystal bracelet, vedic crystal remedies",tiger-s-eye-crystal-bracelet,Tiger’s Eye crystal bracelet for confidence from Destini Numbers,Crystal Bracelets,"Tiger’s Eye, crystal bracelet, healing crystals, manifestation, vedic remedies",Tiger’s Eye Crystal Bracelet for Confidence | Destini Numbers,"Shop Tiger’s Eye crystal bracelet designed for confidence. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Shimmering golden-brown banded beads,https://photos.app.goo.gl/bFGn9aBcYugdamzY9
Single,Green Aventurine,Green Aventurine,Pure Green Aventurine,660,957,Green Aventurine Crystal Bracelet for The 'Stone of Opportunity' for luck and wealth | Destini Numbers,"Shop Green Aventurine crystal bracelet designed for the 'stone of opportunity' for luck and wealth. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Green Aventurine Crystal Bracelet,Powerful Green Aventurine bracelet to support the 'stone of opportunity' for luck and wealth in your daily life.,"This Green Aventurine crystal bracelet is crafted with carefully selected beads and elastic for comfortable daily wear. According to Vedic crystal wisdom, this stone is known to support the 'stone of opportunity' for luck and wealth. when worn consistently on the left hand (receiving hand) or during meditation. Each bracelet is cleansed with incense and intention before shipping so you receive it energetically ready to wear.","Regular use of this Green Aventurine bracelet may help you experience subtle shifts in your emotional state, mindset and energy, making it easier to stay aligned with your goals related to the 'stone of opportunity' for luck and wealth. Pair it with affirmations or journaling for faster manifestation results.",Green Aventurine crystal bracelet,"luck stone, wealth bracelet, green crystal, Green Aventurine crystal bracelet, Green Aventurine bracelet india, crystals for the 'stone of opportunity' for luck and wealth, healing crystal bracelet, vedic crystal remedies",green-aventurine-crystal-bracelet,Green Aventurine crystal bracelet for the 'stone of opportunity' for luck and wealth from Destini Numbers,Crystal Bracelets,"Green Aventurine, crystal bracelet, healing crystals, manifestation, vedic remedies",Green Aventurine Crystal Bracelet for The 'Stone of Opportunity' for luck and wealth | Destini Numbers,"Shop Green Aventurine crystal bracelet designed for the 'stone of opportunity' for luck and wealth. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Matte or polished leafy green beads,https://photos.app.goo.gl/oCThjPvyUrNFk39C6
Single,Pyrite (Fool's Gold),Pyrite,Pure Pyrite,1060,1537,Pyrite Crystal Bracelet for A powerful money magnet and shield against negativity | Destini Numbers,"Shop Pyrite crystal bracelet designed for a powerful money magnet and shield against negativity. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Pyrite Crystal Bracelet,Powerful Pyrite bracelet to support a powerful money magnet and shield against negativity in your daily life.,"This Pyrite crystal bracelet is crafted with carefully selected beads and elastic for comfortable daily wear. According to Vedic crystal wisdom, this stone is known to support a powerful money magnet and shield against negativity. when worn consistently on the left hand (receiving hand) or during meditation. Each bracelet is cleansed with incense and intention before shipping so you receive it energetically ready to wear.","Regular use of this Pyrite bracelet may help you experience subtle shifts in your emotional state, mindset and energy, making it easier to stay aligned with your goals related to a powerful money magnet and shield against negativity. Pair it with affirmations or journaling for faster manifestation results.",Pyrite crystal bracelet,"money magnet, pyrite bracelet india, Pyrite crystal bracelet, Pyrite bracelet india, crystals for a powerful money magnet and shield against negativity, healing crystal bracelet, vedic crystal remedies",pyrite-crystal-bracelet,Pyrite crystal bracelet for a powerful money magnet and shield against negativity from Destini Numbers,Crystal Bracelets,"Pyrite, crystal bracelet, healing crystals, manifestation, vedic remedies",Pyrite Crystal Bracelet for A powerful money magnet and shield against negativity | Destini Numbers,"Shop Pyrite crystal bracelet designed for a powerful money magnet and shield against negativity. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Metallic brassy gold luster beads,https://photos.app.goo.gl/htCWa2FpA8wMaYLq5
Single,Clear Quartz,Clear Quartz,Pure Clear Quartz,620,899,Clear Quartz Crystal Bracelet for The master healer; amplifies energy and clarity | Destini Numbers,"Shop Clear Quartz crystal bracelet designed for the master healer; amplifies energy and clarity. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Clear Quartz Crystal Bracelet,Powerful Clear Quartz bracelet to support the master healer; amplifies energy and clarity in your daily life.,"This Clear Quartz crystal bracelet is crafted with carefully selected beads and elastic for comfortable daily wear. According to Vedic crystal wisdom, this stone is known to support the master healer; amplifies energy and clarity. when worn consistently on the left hand (receiving hand) or during meditation. Each bracelet is cleansed with incense and intention before shipping so you receive it energetically ready to wear.","Regular use of this Clear Quartz bracelet may help you experience subtle shifts in your emotional state, mindset and energy, making it easier to stay aligned with your goals related to the master healer; amplifies energy and clarity. Pair it with affirmations or journaling for faster manifestation results.",Clear Quartz crystal bracelet,"healing crystals, clear quartz bracelet, Clear Quartz crystal bracelet, Clear Quartz bracelet india, crystals for the master healer; amplifies energy and clarity, healing crystal bracelet, vedic crystal remedies",clear-quartz-crystal-bracelet,Clear Quartz crystal bracelet for the master healer; amplifies energy and clarity from Destini Numbers,Crystal Bracelets,"Clear Quartz, crystal bracelet, healing crystals, manifestation, vedic remedies",Clear Quartz Crystal Bracelet for The master healer; amplifies energy and clarity | Destini Numbers,"Shop Clear Quartz crystal bracelet designed for the master healer; amplifies energy and clarity. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Transparent ice-like glass beads,https://photos.app.goo.gl/NxR8yTpdbrTRfz9N6
Single,Citrine,Citrine,Pure Heat-Treated Citrine,870,1261.5,Citrine Crystal Bracelet for Success | Destini Numbers,"Shop Citrine crystal bracelet designed for success. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Citrine Crystal Bracelet,Powerful Citrine bracelet to support success in your daily life.,"This Citrine crystal bracelet is crafted with carefully selected beads and elastic for comfortable daily wear. According to Vedic crystal wisdom, this stone is known to support success, joy, and abundance for business owners. when worn consistently on the left hand (receiving hand) or during meditation. Each bracelet is cleansed with incense and intention before shipping so you receive it energetically ready to wear.","Regular use of this Citrine bracelet may help you experience subtle shifts in your emotional state, mindset and energy, making it easier to stay aligned with your goals related to success. Pair it with affirmations or journaling for faster manifestation results.",Citrine crystal bracelet,"success stone, yellow crystal, citrine bracelet, Citrine crystal bracelet, Citrine bracelet india, crystals for success, healing crystal bracelet, vedic crystal remedies",citrine-crystal-bracelet,Citrine crystal bracelet for success from Destini Numbers,Crystal Bracelets,"Citrine, crystal bracelet, healing crystals, manifestation, vedic remedies",Citrine Crystal Bracelet for Success | Destini Numbers,"Shop Citrine crystal bracelet designed for success. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Bright sunny yellow/orange beads,https://photos.app.goo.gl/qrvYXHJeVRKgE9px5
Single,Selenite,Selenite,Pure Selenite,780,1131,Selenite Crystal Bracelet for Cleanses the aura and other crystals; brings mental clarity | Destini Numbers,"Shop Selenite crystal bracelet designed for cleanses the aura and other crystals; brings mental clarity. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Selenite Crystal Bracelet,Powerful Selenite bracelet to support cleanses the aura and other crystals; brings mental clarity in your daily life.,"This Selenite crystal bracelet is crafted with carefully selected beads and elastic for comfortable daily wear. According to Vedic crystal wisdom, this stone is known to support cleanses the aura and other crystals; brings mental clarity. when worn consistently on the left hand (receiving hand) or during meditation. Each bracelet is cleansed with incense and intention before shipping so you receive it energetically ready to wear.","Regular use of this Selenite bracelet may help you experience subtle shifts in your emotional state, mindset and energy, making it easier to stay aligned with your goals related to cleanses the aura and other crystals; brings mental clarity. Pair it with affirmations or journaling for faster manifestation results.",Selenite crystal bracelet,"cleansing stone, selenite jewelry, white crystal, Selenite crystal bracelet, Selenite bracelet india, crystals for cleanses the aura and other crystals; brings mental clarity, healing crystal bracelet, vedic crystal remedies",selenite-crystal-bracelet,Selenite crystal bracelet for cleanses the aura and other crystals; brings mental clarity from Destini Numbers,Crystal Bracelets,"Selenite, crystal bracelet, healing crystals, manifestation, vedic remedies",Selenite Crystal Bracelet for Cleanses the aura and other crystals; brings mental clarity | Destini Numbers,"Shop Selenite crystal bracelet designed for cleanses the aura and other crystals; brings mental clarity. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Opaque silky white with fiber-like sheen,https://photos.app.goo.gl/9Drw9GXwb3c6B9pPA
Single,Lapis Lazuli,Lapis Lazuli,Pure Lapis Lazuli,940,1363,Lapis Lazuli Crystal Bracelet for Third eye activation | Destini Numbers,"Shop Lapis Lazuli crystal bracelet designed for third eye activation. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Lapis Lazuli Crystal Bracelet,Powerful Lapis Lazuli bracelet to support third eye activation in your daily life.,"This Lapis Lazuli crystal bracelet is crafted with carefully selected beads and elastic for comfortable daily wear. According to Vedic crystal wisdom, this stone is known to support third eye activation, wisdom, and truth. when worn consistently on the left hand (receiving hand) or during meditation. Each bracelet is cleansed with incense and intention before shipping so you receive it energetically ready to wear.","Regular use of this Lapis Lazuli bracelet may help you experience subtle shifts in your emotional state, mindset and energy, making it easier to stay aligned with your goals related to third eye activation. Pair it with affirmations or journaling for faster manifestation results.",Lapis Lazuli crystal bracelet,"wisdom stone, blue crystal bracelet, lapis lazuli, Lapis Lazuli crystal bracelet, Lapis Lazuli bracelet india, crystals for third eye activation, healing crystal bracelet, vedic crystal remedies",lapis-lazuli-crystal-bracelet,Lapis Lazuli crystal bracelet for third eye activation from Destini Numbers,Crystal Bracelets,"Lapis Lazuli, crystal bracelet, healing crystals, manifestation, vedic remedies",Lapis Lazuli Crystal Bracelet for Third eye activation | Destini Numbers,"Shop Lapis Lazuli crystal bracelet designed for third eye activation. Handcrafted, energetically cleansed and charged before dispatch from Lucknow, India. Ideal for daily wear, meditation and manifestation rituals.",Royal blue with golden pyrite speckles,https://photos.app.goo.gl/dMSUdd9X4inQoE2z6
